SEP=;
OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT TYPE;LGT HR;MARKINGS
EFINOB 10963;Mast;603634.7N 0245348.7E;60.60962512;24.89684753;334;645;F R;HN;Y
EFINOB 10988;Chimney;601842.3N 0253130.6E;60.31174402;25.52517744;344;390;F R;HN;NIL
EFINOB 10994;Chimney;601850.3N 0253137.3E;60.31398524;25.52704076;345;395;F R;HN;NIL
EFINOB 10998;Mast;602311.3N 0254038.8E;60.38646765;25.67744457;434;538;F R;HN;Y
EFINOB 11014;Mast;601039.8N 0243824.3E;60.17771041;24.64009209;1070;1214;FLG W;H24;Y
EFINOB 11057;Mast;604812.5N 0233444.0E;60.80346061;23.57887758;401;746;F R;HN;Y
EFINOB 11073;Mast;605548.6N 0235353.3E;60.93016156;23.89812845;716;1278;FLG W;H24;Y
EFINOB 11112;Mast;612714.4N 0230604.8E;61.453995;23.10133769;336;929;F R;HN;Y
EFINOB 11138;Chimney;612825.8N 0232949.9E;61.4738262;23.49718394;364;651;F R;HN;NIL
EFINOB 11141;Mast;613232.3N 0233552.7E;61.54229891;23.59797949;407;949;F R;HN;Y
EFINOB 11189;Tower;613017.9N 0234435.8E;61.50496149;23.7432796;567;936;FLG W;H24;NIL
EFINOB 11190;Chimney;613021.9N 0234549.9E;61.50607533;23.76386144;345;671;FLG R;H24;NIL
EFINOB 11224;Mast;613942.9N 0235233.4E;61.66191401;23.875952;1070;1648;FLG W;H24;Y
EFINOB 11230;Mast;605911.0N 0242657.5E;60.98638471;24.44931448;367;794;F R;HN;Y
EFINOB 11231;Mast;605931.2N 0242448.6E;60.99200024;24.41350949;429;873;F R;HN;Y
EFINOB 11248;Mast;611536.8N 0240324.8E;61.26022846;24.05688606;361;727;F R;HN;Y
EFINOB 11249;Chimney;611551.4N 0240121.6E;61.26426472;24.02267335;402;671;F R;HN;NIL
EFINOB 11250;Chimney;611643.0N 0240250.1E;61.27859748;24.04726225;422;724;F R;HN;NIL
EFINOB 11291;Mast;614911.4N 0242145.9E;61.81983315;24.36275348;369;900;F R;HN;Y
EFINOB 11364;Mast;645148.5N 0264317.3E;64.86348563;26.72146946;388;786;F R;HN;Y
EFINOB 11367;Mast;640544.3N 0270634.5E;64.09564315;27.10957964;365;990;F R;HN;Y
EFINOB 11377;Mast;641315.0N 0274502.8E;64.2208259;27.75078822;383;892;F R;HN;Y
EFINOB 11382;Chimney;641400.5N 0274121.2E;64.23348199;27.68922971;329;748;F R;HN;NIL
EFINOB 11385;Mast;641237.9N 0274232.6E;64.21053822;27.7090488;391;1018;F R;HN;Y
EFINOB 11396;Mast;641454.6N 0275757.4E;64.24850765;27.96595401;506;1326;F R;HN;Y
EFINOB 11398;Mast;640734.9N 0281512.4E;64.12636902;28.2534343;1060;2018;FLG W;H24;Y
EFINOB 11407;Mast;641951.6N 0280538.0E;64.33099337;28.09389871;363;1061;F R;HN;Y
EFINOB 11430;Mast;653415.0N 0253836.2E;65.57083505;25.64337893;358;629;F R;HN;Y
EFINOB 11440;Mast;651940.2N 0265741.9E;65.32782152;26.96163912;414;825;F R;HN;Y
EFINOB 11447;Mast;654939.3N 0264840.7E;65.82757558;26.81130126;344;1039;F R;HN;NIL
EFINOB 11452;Mast;652153.4N 0270156.5E;65.36481987;27.03235905;345;735;F R;HN;NIL
EFINOB 11456;Mast;651805.6N 0282115.7E;65.30156036;28.3543705;903;1831;FLG W;H24;Y
EFINOB 11460;Mast;653358.5N 0281904.1E;65.56625169;28.31780453;545;1452;F R;HN;Y
EFINOB 11463;Mast;660010.1N 0273800.8E;66.00280693;27.63356248;742;1713;FLG W;H24;Y
EFINOB 11471;Mast;663257.5N 0253416.0E;66.54929773;25.57110401;706;1333;FLG W;H24;Y
EFINOB 11485;Mast;663045.7N 0254041.7E;66.51268152;25.67826352;336;862;F R;HN;Y
