"OBSTACLE_IDENTIFIER";"NAME";"HORISONTAL_ACCURACY";"HORISONTAL_ACCURACY_UOM";"LATITUDE";"LONGITUDE";"LATITUDE_DD";"LONGITUDE_DD";"HORISONTAL_RESOLUTION";"HORISONTAL_RESOLUTION_UOM";"HORISONTAL_EXTENT";"ELEVATION";"ELEVATION_UOM";"HEIGHT";"HEIGHT_UOM";"VERTICAL_ACCURACY";"VERTICAL_ACCURACY_UOM";"VERTICAL_EXTENT_ACC";"VERTICAL_EXTENT_ACC_UOM";"VERTICAL_RESOLUTION";"VERTICAL_RESOLUTION_UOM";"OBSTACLE_TYPE";"GEOMETRY_TYPE";"INTEGRITY";"DATESTAMP";"LIGHTING";"LIGHTING_CHARACTER";"MARKING";"STATUS";"REMARKS" 
"2";"BARSEBÄCK/MALMÖ";"10";"M";"554437.3N";"0125517.0E";"55.74368";"12.92139";"0.3";"Seconds";"";"370";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"9";"HÖRBY 1";"10";"M";"554822.2N";"0134315.7E";"55.80618";"13.72104";"0.3";"Seconds";"";"1582";"FT";"1060";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"10";"HÖRRÖD";"10";"M";"554715.4N";"0135845.9E";"55.78761";"13.97941";"0.3";"Seconds";"";"946";"FT";"358";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010920";"Y";"FR";"";"COMPLETED";"" 
"12";"TRELLEBORG";"10";"M";"552321.5N";"0131146.9E";"55.38931";"13.19636";"0.3";"Seconds";"";"434";"FT";"335";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"13";"BÖSARP";"10";"M";"552442.4N";"0131730.0E";"55.41177";"13.29168";"0.3";"Seconds";"";"498";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010920";"Y";"FR/FLGW";"";"COMPLETED";"" 
"20";"KIVIK";"10";"M";"554005.0N";"0140929.3E";"55.66807";"14.15814";"0.3";"Seconds";"";"923";"FT";"354";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"21";"GLIMMINGE";"10";"M";"553004.5N";"0141539.1E";"55.50124";"14.26087";"0.3";"Seconds";"";"587";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"25";"HALMSTAD/OSKARSTRÖM";"10";"M";"564723.9N";"0125616.9E";"56.78997";"12.93804";"0.3";"Seconds";"";"1550";"FT";"1066";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20230110";"Y";"FR/FLGW";"";"COMPLETED";"" 
"26";"HÄLSINGBORG";"10";"M";"560046.6N";"0124244.7E";"56.01295";"12.71242";"0.3";"Seconds";"";"422";"FT";"400";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"46";"KAFFATORP/2";"10";"M";"561422.6N";"0142042.4E";"56.23962";"14.34511";"0.3";"Seconds";"";"915";"FT";"341";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"47";"KARLSHAMN/1";"10";"M";"561337.0N";"0144631.2E";"56.22695";"14.77532";"0.3";"Seconds";"";"1330";"FT";"1099";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FLGW";"";"COMPLETED";"" 
"48";"KARLSHAMN STJÄRNÖ";"10";"M";"560911.7N";"0144957.0E";"56.15326";"14.83249";"0.3";"Seconds";"";"471";"FT";"463";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"50";"VISLANDA";"10";"M";"564832.4N";"0142316.7E";"56.80901";"14.38796";"0.3";"Seconds";"";"1353";"FT";"715";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010626";"Y";"FR/FLGW";"";"COMPLETED";"" 
"62";"TORHAMN 1";"10";"M";"560823.5N";"0154952.5E";"56.13987";"15.83125";"0.3";"Seconds";"";"454";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010918";"Y";"FR";"";"COMPLETED";"" 
"63";"TORHAMN 2";"10";"M";"560554.7N";"0155158.0E";"56.09852";"15.86612";"0.3";"Seconds";"";"356";"FT";"344";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"67";"EMMABODA/BÄLSHULT";"10";"M";"564622.8N";"0153449.6E";"56.773";"15.58046";"0.3";"Seconds";"";"1758";"FT";"1066";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010926";"Y";"FLGW";"";"COMPLETED";"Painted" 
"71";"TINGSRYD 1";"10";"M";"563120.4N";"0150327.1E";"56.52234";"15.05753";"0.3";"Seconds";"";"959";"FT";"331";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"72";"TVING";"10";"M";"561630.2N";"0152916.4E";"56.27506";"15.48788";"0.3";"Seconds";"";"797";"FT";"702";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"Support cables within radius 300 m" 
"83";"BORGHOLM";"10";"M";"565008.4N";"0164340.3E";"56.83567";"16.72786";"0.3";"Seconds";"";"473";"FT";"354";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010928";"Y";"FR";"";"COMPLETED";"" 
"84";"ÖLANDS SÖ UDDE";"10";"M";"561401.1N";"0162717.9E";"56.23363";"16.45498";"0.3";"Seconds";"";"385";"FT";"358";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011001";"Y";"FR";"";"COMPLETED";"" 
"86";"GÖTEBORG/BRÄCKE";"10";"M";"574202.1N";"0115243.3E";"57.70058";"11.87869";"0.3";"Seconds";"";"401";"FT";"377";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"88";"GÖTEBORG/SKEPPSBRON";"10";"M";"574210.7N";"0115718.1E";"57.70297";"11.95504";"0.3";"Seconds";"";"369";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"N";"";"";"COMPLETED";"" 
"89";"GÖTEBORG/ÄLVSBORGSBRON";"10";"M";"574132.9N";"0115402.4E";"57.69246";"11.90067";"0.3";"Seconds";"";"373";"FT";"374";"FT";"5";"M";"5";"M";"1";"M";"BRIDGE";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"97";"GÖTEBORG/BRUDAREMOSSEN";"10";"M";"574139.5N";"0120332.0E";"57.69431";"12.05889";"0.3";"Seconds";"";"1459";"FT";"1093";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"100";"RINGHALS";"10";"M";"571543.6N";"0120641.7E";"57.26211";"12.11159";"0.3";"Seconds";"";"373";"FT";"364";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"106";"GRIMETON 1";"10";"M";"570601.3N";"0122253.4E";"57.10035";"12.38149";"0.3";"Seconds";"";"559";"FT";"433";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"110";"VÄRÖ/BUA";"10";"M";"571325.5N";"0121020.3E";"57.22374";"12.17232";"0.3";"Seconds";"";"420";"FT";"397";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20010926";"Y";"FR";"";"COMPLETED";"" 
"115";"LIMMARED";"10";"M";"573229.6N";"0132114.8E";"57.54155";"13.3541";"0.3";"Seconds";"";"865";"FT";"331";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20240417";"Y";"FR";"";"COMPLETED";"" 
"116";"FINNVEDEN";"10";"M";"571409.4N";"0134302.8E";"57.23594";"13.71745";"0.3";"Seconds";"";"1688";"FT";"866";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"122";"JÖNKÖPING/BONDBERGET";"10";"M";"574610.0N";"0141452.6E";"57.76944";"14.24794";"0.3";"Seconds";"";"1329";"FT";"449";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20240417";"Y";"FR";"";"COMPLETED";"" 
"128";"NÄSSJÖ 1";"10";"M";"573836.6N";"0144008.5E";"57.64351";"14.66904";"0.3";"Seconds";"";"2135";"FT";"1063";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011010";"Y";"FLGW";"";"COMPLETED";"" 
"130";"KISA/1";"10";"M";"575727.4N";"0153522.0E";"57.95762";"15.58944";"0.3";"Seconds";"";"1908";"FT";"1089";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"134";"MÖRLUNDA";"10";"M";"571924.0N";"0155903.2E";"57.32334";"15.98422";"0.3";"Seconds";"";"889";"FT";"417";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010927";"Y";"FR";"";"COMPLETED";"" 
"145";"LOFTAHAMMAR";"10";"M";"575435.8N";"0164429.2E";"57.90994";"16.74145";"0.3";"Seconds";"";"491";"FT";"367";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010928";"Y";"FR";"";"COMPLETED";"" 
"146";"RUDA";"10";"M";"570713.2N";"0160910.8E";"57.12033";"16.15301";"0.3";"Seconds";"";"999";"FT";"696";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010928";"Y";"FR/FLGW";"";"COMPLETED";"Support cables within radius 300 m" 
"147";"VÄSTERVIK/FÅRHULT";"10";"M";"574315.3N";"0162533.8E";"57.72092";"16.42606";"0.3";"Seconds";"";"1396";"FT";"1099";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010927";"Y";"FR/FLGW";"";"COMPLETED";"" 
"148";"VÄSTERVIK/MARIELUND";"10";"M";"574334.2N";"0163933.3E";"57.72617";"16.65925";"0.3";"Seconds";"";"486";"FT";"417";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"149";"OSKARSHAMN/SIMPEVARP";"10";"M";"572446.3N";"0164003.8E";"57.41287";"16.66771";"0.3";"Seconds";"";"383";"FT";"364";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20240214";"Y";"FR";"";"COMPLETED";"" 
"152";"BYXELKROK";"10";"M";"572106.8N";"0170406.5E";"57.35188";"17.06849";"0.3";"Seconds";"";"444";"FT";"420";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011001";"Y";"FR";"";"COMPLETED";"Painted" 
"154";"SUNDRE";"10";"M";"565610.9N";"0181316.7E";"56.93637";"18.22129";"0.3";"Seconds";"";"450";"FT";"371";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20250121";"Y";"FR";"";"COMPLETED";"" 
"159";"IRE";"10";"M";"574917.2N";"0183627.1E";"57.82144";"18.60752";"0.3";"Seconds";"";"507";"FT";"423";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20250121";"Y";"FR";"";"COMPLETED";"Painted" 
"160";"VISBY/FOLLINGBO";"10";"M";"573533.6N";"0182222.7E";"57.59268";"18.37297";"0.3";"Seconds";"";"1109";"FT";"853";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20041122";"Y";"FR/FLGW";"";"COMPLETED";"" 
"161";"VISBY/YGNE";"10";"M";"573507.7N";"0181101.2E";"57.58547";"18.18366";"0.3";"Seconds";"";"609";"FT";"463";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20250121";"Y";"FR";"";"COMPLETED";"" 
"165";"BUNGE";"10";"M";"575155.9N";"0190008.0E";"57.86553";"19.00222";"0.3";"Seconds";"";"575";"FT";"387";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011009";"Y";"FR";"";"COMPLETED";"" 
"170";"GREBBESTAD 2";"10";"M";"584117.7N";"0111530.4E";"58.68824";"11.25844";"0.3";"Seconds";"";"492";"FT";"341";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"176";"STRÖMSTAD";"10";"M";"585607.3N";"0111108.8E";"58.93537";"11.18578";"0.3";"Seconds";"";"544";"FT";"377";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"177";"UDDEVALLA/HERRESTAD";"10";"M";"582226.5N";"0114916.7E";"58.37404";"11.82129";"0.3";"Seconds";"";"1621";"FT";"1089";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"179";"TANUM";"10";"M";"584337.3N";"0112527.9E";"58.72703";"11.42441";"0.3";"Seconds";"";"877";"FT";"387";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"180";"SVANESUND/ORUST";"10";"M";"581128.1N";"0114803.8E";"58.19113";"11.80106";"0.3";"Seconds";"";"704";"FT";"417";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010919";"Y";"FR";"";"COMPLETED";"" 
"181";"LYSEKIL";"10";"M";"582044.0N";"0112520.1E";"58.34556";"11.42224";"0.3";"Seconds";"";"542";"FT";"459";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"186";"BÄCKEFORS";"10";"M";"584920.1N";"0121201.0E";"58.82226";"12.20028";"0.3";"Seconds";"";"1820";"FT";"1073";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"191";"TROLLHÄTTAN/STRÖMSLUND";"10";"M";"581721.7N";"0121637.7E";"58.28935";"12.27713";"0.3";"Seconds";"";"688";"FT";"397";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"199";"SKÖVDE/BILLINGEN";"10";"M";"582435.2N";"0134848.5E";"58.40977";"13.81348";"0.3";"Seconds";"";"2000";"FT";"1070";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010517";"Y";"FLGW";"";"COMPLETED";"" 
"215";"MOTALA/BONDEBACKA";"10";"M";"583246.5N";"0150232.7E";"58.54624";"15.04243";"0.3";"Seconds";"";"824";"FT";"410";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20240618";"N";"";"";"COMPLETED";"Painted" 
"217";"NYKIL";"10";"M";"581244.9N";"0152550.2E";"58.21247";"15.43062";"0.3";"Seconds";"";"875";"FT";"344";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"219";"LINKÖPING/DOMKYRKA";"10";"M";"582440.0N";"0153700.2E";"58.41112";"15.61672";"0.3";"Seconds";"";"534";"FT";"348";"FT";"5";"M";"5";"M";"1";"M";"SPIRE";"POINT";"ROUTINE";"20231116";"N";"";"";"COMPLETED";"" 
"220";"MOTALA/ERVASTEBY";"10";"M";"583518.2N";"0150545.0E";"58.58839";"15.09584";"0.3";"Seconds";"";"1600";"FT";"1089";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011001";"Y";"FR/FLGW";"";"COMPLETED";"" 
"227";"ÅTVIDABERG";"10";"M";"581218.1N";"0160138.4E";"58.20504";"16.02734";"0.3";"Seconds";"";"751";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"228";"MARVIKEN";"10";"M";"583313.1N";"0164954.7E";"58.55365";"16.83187";"0.3";"Seconds";"";"468";"FT";"459";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"229";"HEDENLUNDA";"10";"M";"585952.1N";"0163448.2E";"58.9978";"16.58007";"0.3";"Seconds";"";"527";"FT";"354";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011023";"Y";"FR";"";"COMPLETED";"Painted" 
"232";"KROKEK/ORRBERGEN";"10";"M";"584035.4N";"0162803.9E";"58.67649";"16.46774";"0.3";"Seconds";"";"1436";"FT";"1066";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"234";"FALERUM/LÖPGÖLSBERG";"10";"M";"581113.1N";"0161431.7E";"58.18697";"16.24213";"0.3";"Seconds";"";"834";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"241";"STUDSVIK";"10";"M";"584621.0N";"0172256.5E";"58.77251";"17.38235";"0.3";"Seconds";"";"521";"FT";"404";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"243";"TORÖ";"10";"M";"584914.3N";"0175039.1E";"58.82064";"17.84419";"0.3";"Seconds";"";"462";"FT";"351";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010424";"Y";"FR";"";"COMPLETED";"" 
"246";"TÖCKSFORS";"10";"M";"593516.8N";"0114912.8E";"59.58799";"11.82023";"0.3";"Seconds";"";"998";"FT";"400";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011001";"Y";"FR";"";"COMPLETED";"" 
"248";"SVINESUND";"10";"M";"590513.7N";"0111529.2E";"59.08713";"11.2581";"0.3";"Seconds";"";"644";"FT";"341";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"249";"SUNNE/BLÅBÄRSKULLEN";"10";"M";"595011.4N";"0125200.0E";"59.8365";"12.86666";"0.3";"Seconds";"";"2219";"FT";"860";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011002";"Y";"FR/FLGW";"";"COMPLETED";"" 
"251";"ARVIKA/ÖRSHULTABERGET 2";"10";"M";"593723.7N";"0124016.4E";"59.62324";"12.67123";"0.3";"Seconds";"";"1158";"FT";"390";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20101027";"Y";"FR";"";"COMPLETED";"" 
"258";"KOPPOM";"10";"M";"594239.0N";"0120656.3E";"59.71084";"12.11563";"0.3";"Seconds";"";"1229";"FT";"354";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011001";"Y";"FR";"";"COMPLETED";"Painted" 
"259";"ÅRJÄNG";"10";"M";"592413.7N";"0120636.4E";"59.40379";"12.11011";"0.3";"Seconds";"";"1160";"FT";"381";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011002";"Y";"FR";"";"COMPLETED";"Painted" 
"260";"KARLSTAD/SÖRMON/1";"10";"M";"592331.4N";"0132259.5E";"59.39204";"13.38319";"0.3";"Seconds";"";"938";"FT";"604";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"Painted" 
"268";"ÖLME";"10";"M";"592130.7N";"0140007.8E";"59.35852";"14.00215";"0.3";"Seconds";"";"738";"FT";"577";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20250211";"Y";"FR";"";"COMPLETED";"Painted" 
"270";"DEGERFORS";"10";"M";"591226.2N";"0142259.6E";"59.20727";"14.38323";"0.3";"Seconds";"";"1052";"FT";"525";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011008";"Y";"FR/FLGW";"";"COMPLETED";"" 
"271";"FILIPSTAD/KLOCKARHÖJDEN";"10";"M";"594057.0N";"0140726.3E";"59.6825";"14.12397";"0.3";"Seconds";"";"2013";"FT";"1083";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20011003";"Y";"FR/FLGW";"";"COMPLETED";"" 
"272";"ÖREBRO/LOCKHYTTAN";"10";"M";"592545.8N";"0150255.7E";"59.42938";"15.0488";"0.3";"Seconds";"";"1894";"FT";"1060";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20250121";"Y";"FR/FLGW";"";"COMPLETED";"" 
"276";"RIDDARHYTTAN";"10";"M";"595058.1N";"0153414.4E";"59.84948";"15.57066";"0.3";"Seconds";"";"1319";"FT";"427";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010427";"Y";"FR/FLGW";"";"COMPLETED";"Painted" 
"281";"VÄSTERÅS/LILLHÄRAD";"10";"M";"593837.1N";"0162402.3E";"59.64364";"16.40063";"0.3";"Seconds";"";"1196";"FT";"1070";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"286";"SALA 2";"10";"M";"595442.7N";"0163859.4E";"59.91187";"16.64982";"0.3";"Seconds";"";"592";"FT";"427";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"287";"VÄSTERÅS";"10";"M";"593518.6N";"0163049.2E";"59.58851";"16.51365";"0.3";"Seconds";"";"502";"FT";"495";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"293";"UPPSALA DOMKYRKA";"10";"M";"595128.9N";"0173757.7E";"59.85803";"17.63271";"0.3";"Seconds";"";"429";"FT";"377";"FT";"5";"M";"5";"M";"1";"M";"SPIRE";"POINT";"ROUTINE";"20231116";"N";"";"";"COMPLETED";"" 
"300";"UPPSALA/BRÄNNUGNEN";"10";"M";"595107.9N";"0174032.6E";"59.8522";"17.67573";"0.3";"Seconds";"";"380";"FT";"344";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"301";"BÅLSTA/EKOLSUND";"10";"M";"593724.1N";"0172505.4E";"59.62335";"17.41816";"0.3";"Seconds";"";"570";"FT";"404";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"310";"OKNÖ";"10";"M";"593134.4N";"0170737.3E";"59.52623";"17.12703";"0.3";"Seconds";"";"400";"FT";"354";"FT";"5";"M";"5";"M";"1";"M";"POLE";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"319";"STOCKHOLM/FITTJA";"10";"M";"591527.2N";"0175152.0E";"59.25755";"17.86444";"0.3";"Seconds";"";"347";"FT";"328";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"320";"STOCKHOLM/HAGBY";"10";"M";"592928.9N";"0175853.7E";"59.49136";"17.98158";"0.3";"Seconds";"";"450";"FT";"397";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"321";"STOCKHOLM/HÄSSELBYSTRAND1";"10";"M";"592145.4N";"0174931.6E";"59.36262";"17.82545";"0.3";"Seconds";"";"477";"FT";"410";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"325";"BROTTBY";"10";"M";"593524.0N";"0182156.3E";"59.58999";"18.36563";"0.3";"Seconds";"";"643";"FT";"407";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"329";"ORNÖ";"10";"M";"590117.0N";"0182252.9E";"59.0214";"18.38136";"0.3";"Seconds";"";"447";"FT";"358";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"332";"VÄDDÖ";"10";"M";"595805.7N";"0185023.8E";"59.96826";"18.83995";"0.3";"Seconds";"";"623";"FT";"505";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"337";"ÅGESTA";"10";"M";"591222.4N";"0180506.2E";"59.20622";"18.08505";"0.3";"Seconds";"";"606";"FT";"397";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"338";"STOCKHOLM/DJURGÅRDEN";"10";"M";"591923.7N";"0180549.0E";"59.32326";"18.09696";"0.3";"Seconds";"";"340";"FT";"328";"FT";"5";"M";"5";"M";"1";"M";"TOWER";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"339";"STOCKHOLM/HÖGDALEN";"10";"M";"591523.5N";"0180341.3E";"59.25654";"18.06146";"0.3";"Seconds";"";"613";"FT";"459";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"340";"STOCKHOLM/KAKNÄS";"10";"M";"592006.2N";"0180736.5E";"59.33505";"18.1268";"0.3";"Seconds";"";"582";"FT";"518";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"341";"STOCKHOLM/KLARA K:A";"10";"M";"591952.4N";"0180340.0E";"59.33123";"18.06112";"0.3";"Seconds";"";"375";"FT";"348";"FT";"5";"M";"5";"M";"1";"M";"SPIRE";"POINT";"ROUTINE";"20231116";"N";"";"";"COMPLETED";"" 
